index,HomePlanet_entire,HomePlanet_died,HomePlanet_rate,index.1,CryoSleep_entire,CryoSleep_died,CryoSleep_rate,index.2,Cabin_entire,Cabin_died,Cabin_rate,index.3,Cabin_num_entire,Cabin_num_died,Cabin_num_rate,index.4,Cabin_port_entire,Cabin_port_died,Cabin_port_rate,index.5,Destination_entire,Destination_died,Destination_rate,index.6,Age_entire,Age_died,Age_rate,index.7,VIP_entire,VIP_died,VIP_rate,index.8,RoomService_entire,RoomService_died,RoomService_rate,index.9,FoodCourt_entire,FoodCourt_died,FoodCourt_rate,index.10,ShoppingMall_entire,ShoppingMall_died,ShoppingMall_rate,index.11,Spa_entire,Spa_died,Spa_rate,index,VRDeck_entire,VRDeck_died,VRDeck_rate
,,,,,,,,,,,,10,14,8,57.14,,,,,,,,,10.0,49.0,21.0,42.86,,,,,10.0,17.0,10.0,58.82,10.0,27.0,25.0,92.59,10.0,27.0,24.0,88.89,10.0,25.0,13.0,52.0,10,22,15,68.18
,,,,,,,,,,,,11,19,8,42.11,,,,,,,,,11.0,49.0,21.0,42.86,,,,,11.0,14.0,9.0,64.29,11.0,19.0,13.0,68.42,11.0,21.0,19.0,90.48,11.0,22.0,14.0,63.64,11,17,12,70.59
,,,,,,,,,,,,12,5,2,40.0,,,,,,,,,12.0,50.0,20.0,40.0,,,,,12.0,16.0,13.0,81.25,12.0,14.0,10.0,71.43,12.0,18.0,14.0,77.78,12.0,24.0,14.0,58.33,12,22,14,63.64
,,,,,,,,,,,,13,16,13,81.25,,,,,,,,,13.0,146.0,73.0,50.0,,,,,13.0,18.0,14.0,77.78,13.0,15.0,12.0,80.0,13.0,29.0,20.0,68.97,13.0,16.0,8.0,50.0,13,20,13,65.0
,,,,,,,,,,,,14,17,5,29.41,,,,,,,,,14.0,156.0,74.0,47.44,,,,,14.0,21.0,11.0,52.38,14.0,11.0,9.0,81.82,14.0,17.0,14.0,82.35,14.0,17.0,14.0,82.35,14,12,9,75.0
,,,,,,,,,,,,15,10,3,30.0,,,,,,,,,15.0,163.0,71.0,43.56,,,,,15.0,10.0,6.0,60.0,15.0,11.0,9.0,81.82,15.0,15.0,11.0,73.33,15.0,17.0,11.0,64.71,15,16,10,62.5
,,,,,,,,,,,,16,17,3,17.65,,,,,,,,,16.0,154.0,73.0,47.4,,,,,16.0,10.0,5.0,50.0,16.0,16.0,14.0,87.5,16.0,15.0,12.0,80.0,16.0,17.0,13.0,76.47,16,19,14,73.68
,,,,,,,,,,,,17,8,6,75.0,,,,,,,,,17.0,166.0,73.0,43.98,,,,,17.0,10.0,6.0,60.0,17.0,12.0,9.0,75.0,17.0,19.0,15.0,78.95,17.0,15.0,8.0,53.33,17,14,9,64.29
,,,,,,,,,,,,18,18,6,33.33,,,,,,,,,18.0,363.0,178.0,49.04,,,,,18.0,12.0,9.0,75.0,18.0,12.0,8.0,66.67,18.0,14.0,9.0,64.29,18.0,10.0,5.0,50.0,18,15,10,66.67
,,,,,,,,,,,,19,22,9,40.91,,,,,,,,,19.0,317.0,161.0,50.79,,,,,19.0,16.0,11.0,68.75,19.0,7.0,5.0,71.43,19.0,11.0,11.0,100.0,19.0,16.0,12.0,75.0,19,15,11,73.33
,,,,,,,,,,,,20,15,9,60.0,,,,,,,,,20.0,284.0,153.0,53.87,,,,,20.0,13.0,9.0,69.23,20.0,18.0,16.0,88.89,20.0,11.0,10.0,90.91,20.0,22.0,15.0,68.18,20,10,9,90.0
,,,,,,,,,,,,21,27,17,62.96,,,,,,,,,21.0,328.0,188.0,57.32,,,,,21.0,14.0,9.0,64.29,21.0,16.0,13.0,81.25,21.0,14.0,11.0,78.57,21.0,14.0,10.0,71.43,21,13,9,69.23
,,,,,,,,,,,,22,15,11,73.33,,,,,,,,,22.0,294.0,159.0,54.08,,,,,22.0,13.0,10.0,76.92,22.0,14.0,11.0,78.57,22.0,15.0,12.0,80.0,22.0,17.0,11.0,64.71,22,11,9,81.82
,,,,,,,,,,,,23,16,10,62.5,,,,,,,,,23.0,292.0,155.0,53.08,,,,,23.0,6.0,5.0,83.33,23.0,4.0,4.0,100.0,23.0,21.0,16.0,76.19,23.0,5.0,3.0,60.0,23,18,11,61.11
,,,,,,,,,,,,24,16,7,43.75,,,,,,,,,24.0,324.0,184.0,56.79,,,,,24.0,9.0,7.0,77.78,24.0,6.0,5.0,83.33,24.0,5.0,5.0,100.0,24.0,9.0,5.0,55.56,24,9,8,88.89
,,,,,,,,,,,,25,15,6,40.0,,,,,,,,,25.0,243.0,126.0,51.85,,,,,25.0,9.0,7.0,77.78,25.0,20.0,18.0,90.0,25.0,10.0,7.0,70.0,25.0,10.0,7.0,70.0,25,14,11,78.57
,,,,,,,,,,,,26,10,1,10.0,,,,,,,,,26.0,268.0,140.0,52.24,,,,,26.0,7.0,4.0,57.14,26.0,5.0,3.0,60.0,26.0,11.0,10.0,90.91,26.0,13.0,9.0,69.23,26,13,9,69.23
,,,,,,,,,,,,27,17,9,52.94,,,,,,,,,27.0,260.0,133.0,51.15,,,,,27.0,12.0,6.0,50.0,27.0,5.0,5.0,100.0,27.0,6.0,5.0,83.33,27.0,10.0,5.0,50.0,27,10,7,70.0
,,,,,,,,,,,,28,11,5,45.45,,,,,,,,,28.0,267.0,117.0,43.82,,,,,28.0,20.0,12.0,60.0,28.0,7.0,6.0,85.71,28.0,10.0,9.0,90.0,28.0,6.0,4.0,66.67,28,6,5,83.33
,,,,,,,,,,,,29,12,8,66.67,,,,,,,,,29.0,231.0,118.0,51.08,,,,,29.0,8.0,6.0,75.0,29.0,9.0,8.0,88.89,29.0,10.0,8.0,80.0,29.0,8.0,4.0,50.0,29,9,5,55.56
,,,,,,,,,,,,30,10,5,50.0,,,,,,,,,30.0,186.0,101.0,54.3,,,,,30.0,13.0,6.0,46.15,30.0,13.0,7.0,53.85,30.0,10.0,9.0,90.0,30.0,11.0,8.0,72.73,30,9,6,66.67
,,,,,,,,,,,,31,9,5,55.56,,,,,,,,,31.0,202.0,119.0,58.91,,,,,31.0,10.0,7.0,70.0,31.0,11.0,9.0,81.82,31.0,20.0,13.0,65.0,31.0,12.0,8.0,66.67,31,8,2,25.0
,,,,,,,,,,,,32,13,7,53.85,,,,,,,,,32.0,199.0,112.0,56.28,,,,,32.0,11.0,4.0,36.36,32.0,10.0,9.0,90.0,32.0,15.0,13.0,86.67,32.0,7.0,6.0,85.71,32,8,2,25.0
,,,,,,,,,,,,33,6,4,66.67,,,,,,,,,33.0,181.0,97.0,53.59,,,,,33.0,6.0,3.0,50.0,33.0,12.0,10.0,83.33,33.0,10.0,6.0,60.0,33.0,9.0,6.0,66.67,33,6,1,16.67
,,,,,,,,,,,,34,4,3,75.0,,,,,,,,,34.0,148.0,71.0,47.97,,,,,34.0,7.0,4.0,57.14,34.0,8.0,8.0,100.0,34.0,7.0,6.0,85.71,34.0,8.0,4.0,50.0,34,22,9,40.91
,,,,,,,,,,,,35,17,9,52.94,,,,,,,,,35.0,173.0,84.0,48.55,,,,,35.0,7.0,3.0,42.86,35.0,6.0,4.0,66.67,35.0,4.0,4.0,100.0,35.0,9.0,3.0,33.33,35,7,4,57.14
,,,,,,,,,,,,36,9,3,33.33,,,,,,,,,36.0,178.0,89.0,50.0,,,,,36.0,9.0,5.0,55.56,36.0,7.0,6.0,85.71,36.0,9.0,8.0,88.89,36.0,12.0,4.0,33.33,36,5,2,40.0
,,,,,,,,,,,,37,14,7,50.0,,,,,,,,,37.0,177.0,103.0,58.19,,,,,37.0,7.0,1.0,14.29,37.0,7.0,6.0,85.71,37.0,7.0,5.0,71.43,37.0,7.0,6.0,85.71,37,7,5,71.43
,,,,,,,,,,,,38,14,6,42.86,,,,,,,,,38.0,161.0,90.0,55.9,,,,,38.0,8.0,6.0,75.0,38.0,7.0,7.0,100.0,38.0,9.0,8.0,88.89,38.0,13.0,10.0,76.92,38,2,2,100.0
,,,,,,,,,,,,39,10,4,40.0,,,,,,,,,39.0,138.0,76.0,55.07,,,,,39.0,8.0,5.0,62.5,39.0,5.0,4.0,80.0,39.0,8.0,4.0,50.0,39.0,8.0,6.0,75.0,39,9,5,55.56
,,,,,,,,,,,,40,5,3,60.0,,,,,,,,,40.0,128.0,55.0,42.97,,,,,40.0,6.0,3.0,50.0,40.0,6.0,5.0,83.33,40.0,8.0,7.0,87.5,40.0,9.0,7.0,77.78,40,13,6,46.15
,,,,,,,,,,,,41,11,4,36.36,,,,,,,,,41.0,129.0,62.0,48.06,,,,,41.0,6.0,4.0,66.67,41.0,4.0,3.0,75.0,41.0,6.0,5.0,83.33,41.0,7.0,5.0,71.43,41,9,6,66.67
,,,,,,,,,,,,42,18,9,50.0,,,,,,,,,42.0,119.0,66.0,55.46,,,,,42.0,12.0,8.0,66.67,42.0,4.0,3.0,75.0,42.0,3.0,3.0,100.0,42.0,7.0,5.0,71.43,42,7,4,57.14
,,,,,,,,,,,,43,15,7,46.67,,,,,,,,,43.0,128.0,63.0,49.22,,,,,43.0,9.0,7.0,77.78,43.0,8.0,7.0,87.5,43.0,6.0,4.0,66.67,43.0,10.0,6.0,60.0,43,6,4,66.67
,,,,,,,,,,,,44,17,12,70.59,,,,,,,,,44.0,115.0,52.0,45.22,,,,,44.0,7.0,4.0,57.14,44.0,11.0,9.0,81.82,44.0,6.0,5.0,83.33,44.0,6.0,4.0,66.67,44,10,7,70.0
,,,,,,,,,,,,45,9,5,55.56,,,,,,,,,45.0,89.0,47.0,52.81,,,,,45.0,6.0,5.0,83.33,45.0,5.0,4.0,80.0,45.0,6.0,6.0,100.0,45.0,6.0,4.0,66.67,45,5,2,40.0
,,,,,,,,,,,,46,14,5,35.71,,,,,,,,,46.0,97.0,49.0,50.52,,,,,46.0,6.0,4.0,66.67,46.0,7.0,6.0,85.71,46.0,14.0,12.0,85.71,46.0,6.0,4.0,66.67,46,6,3,50.0
,,,,,,,,,,,,47,14,6,42.86,,,,,,,,,47.0,88.0,41.0,46.59,,,,,47.0,5.0,4.0,80.0,47.0,7.0,6.0,85.71,47.0,11.0,8.0,72.73,47.0,4.0,1.0,25.0,47,6,4,66.67
,,,,,,,,,,,,48,12,6,50.0,,,,,,,,,48.0,72.0,33.0,45.83,,,,,48.0,6.0,5.0,83.33,48.0,4.0,3.0,75.0,48.0,5.0,5.0,100.0,48.0,9.0,5.0,55.56,48,3,1,33.33
,,,,,,,,,,,,49,11,4,36.36,,,,,,,,,49.0,83.0,49.0,59.04,,,,,49.0,8.0,4.0,50.0,49.0,4.0,4.0,100.0,49.0,10.0,9.0,90.0,49.0,10.0,6.0,60.0,49,5,3,60.0
,,,,,,,,,,,,50,17,3,17.65,,,,,,,,,50.0,74.0,37.0,50.0,,,,,50.0,4.0,2.0,50.0,50.0,3.0,2.0,66.67,50.0,10.0,9.0,90.0,50.0,7.0,4.0,57.14,50,7,3,42.86
,,,,,,,,,,,,51,12,11,91.67,,,,,,,,,51.0,59.0,38.0,64.41,,,,,51.0,6.0,2.0,33.33,51.0,6.0,5.0,83.33,51.0,11.0,7.0,63.64,51.0,8.0,6.0,75.0,51,2,2,100.0
,,,,,,,,,,,,52,8,4,50.0,,,,,,,,,52.0,52.0,24.0,46.15,,,,,52.0,5.0,4.0,80.0,52.0,4.0,3.0,75.0,52.0,6.0,5.0,83.33,52.0,7.0,6.0,85.71,52,10,4,40.0
,,,,,,,,,,,,53,17,10,58.82,,,,,,,,,53.0,61.0,31.0,50.82,,,,,53.0,2.0,1.0,50.0,53.0,11.0,9.0,81.82,53.0,7.0,6.0,85.71,53.0,3.0,2.0,66.67,53,7,5,71.43
,,,,,,,,,,,,54,13,8,61.54,,,,,,,,,54.0,67.0,35.0,52.24,,,,,54.0,3.0,2.0,66.67,54.0,3.0,3.0,100.0,54.0,7.0,6.0,85.71,54.0,6.0,5.0,83.33,54,6,5,83.33
,,,,,,,,,,,,55,14,8,57.14,,,,,,,,,55.0,68.0,36.0,52.94,,,,,55.0,6.0,4.0,66.67,55.0,5.0,4.0,80.0,55.0,4.0,2.0,50.0,55.0,6.0,5.0,83.33,55,8,7,87.5
,,,,,,,,,,,,56,21,6,28.57,,,,,,,,,56.0,48.0,26.0,54.17,,,,,56.0,6.0,5.0,83.33,56.0,8.0,6.0,75.0,56.0,4.0,3.0,75.0,56.0,10.0,3.0,30.0,56,5,4,80.0
,,,,,,,,,,,,57,16,9,56.25,,,,,,,,,57.0,46.0,24.0,52.17,,,,,57.0,2.0,2.0,100.0,57.0,4.0,3.0,75.0,57.0,4.0,4.0,100.0,57.0,3.0,1.0,33.33,57,9,5,55.56
,,,,,,,,,,,,58,12,6,50.0,,,,,,,,,58.0,47.0,23.0,48.94,,,,,58.0,4.0,3.0,75.0,58.0,3.0,2.0,66.67,58.0,6.0,2.0,33.33,58.0,8.0,6.0,75.0,58,4,2,50.0
,,,,,,,,,,,,59,17,5,29.41,,,,,,,,,59.0,35.0,8.0,22.86,,,,,59.0,6.0,6.0,100.0,59.0,7.0,5.0,71.43,59.0,4.0,4.0,100.0,59.0,15.0,12.0,80.0,59,3,2,66.67
,,,,,,,,,,,,60,16,11,68.75,,,,,,,,,60.0,34.0,19.0,55.88,,,,,60.0,4.0,2.0,50.0,60.0,5.0,5.0,100.0,60.0,8.0,6.0,75.0,60.0,3.0,2.0,66.67,60,7,6,85.71
,,,,,,,,,,,,61,13,5,38.46,,,,,,,,,61.0,32.0,14.0,43.75,,,,,61.0,5.0,2.0,40.0,61.0,4.0,2.0,50.0,61.0,6.0,5.0,83.33,61.0,7.0,4.0,57.14,61,8,6,75.0
,,,,,,,,,,,,62,14,6,42.86,,,,,,,,,62.0,26.0,13.0,50.0,,,,,62.0,5.0,4.0,80.0,62.0,3.0,1.0,33.33,62.0,5.0,3.0,60.0,62.0,9.0,5.0,55.56,62,8,4,50.0
,,,,,,,,,,,,63,15,6,40.0,,,,,,,,,63.0,26.0,16.0,61.54,,,,,63.0,5.0,3.0,60.0,63.0,4.0,4.0,100.0,63.0,3.0,3.0,100.0,63.0,4.0,2.0,50.0,63,4,2,50.0
,,,,,,,,,,,,64,11,6,54.55,,,,,,,,,64.0,29.0,13.0,44.83,,,,,64.0,5.0,4.0,80.0,65.0,4.0,3.0,75.0,64.0,4.0,3.0,75.0,64.0,3.0,3.0,100.0,64,7,6,85.71
,,,,,,,,,,,,65,19,7,36.84,,,,,,,,,65.0,23.0,16.0,69.57,,,,,65.0,6.0,3.0,50.0,67.0,2.0,1.0,50.0,65.0,3.0,3.0,100.0,65.0,5.0,3.0,60.0,66,3,1,33.33
,,,,,,,,,,,,66,12,7,58.33,,,,,,,,,66.0,7.0,3.0,42.86,,,,,66.0,3.0,2.0,66.67,69.0,3.0,3.0,100.0,66.0,5.0,4.0,80.0,66.0,3.0,2.0,66.67,67,9,6,66.67
,,,,,,,,,,,,67,13,6,46.15,,,,,,,,,67.0,13.0,6.0,46.15,,,,,67.0,1.0,1.0,100.0,70.0,4.0,2.0,50.0,68.0,4.0,3.0,75.0,67.0,3.0,2.0,66.67,68,7,5,71.43
,,,,,,,,,,,,68,15,4,26.67,,,,,,,,,68.0,12.0,4.0,33.33,,,,,68.0,4.0,1.0,25.0,71.0,4.0,3.0,75.0,69.0,2.0,2.0,100.0,68.0,7.0,5.0,71.43,69,3,2,66.67
,,,,,,,,,,,,69,8,5,62.5,,,,,,,,,69.0,6.0,5.0,83.33,,,,,69.0,4.0,2.0,50.0,73.0,2.0,1.0,50.0,70.0,3.0,3.0,100.0,69.0,2.0,2.0,100.0,70,3,3,100.0
,,,,,,,,,,,,70,8,2,25.0,,,,,,,,,70.0,9.0,3.0,33.33,,,,,70.0,2.0,2.0,100.0,75.0,3.0,1.0,33.33,71.0,6.0,5.0,83.33,70.0,2.0,1.0,50.0,71,6,3,50.0
,,,,,,,,,,,,71,17,5,29.41,,,,,,,,,71.0,7.0,4.0,57.14,,,,,71.0,5.0,5.0,100.0,76.0,6.0,5.0,83.33,72.0,6.0,4.0,66.67,71.0,8.0,4.0,50.0,72,6,5,83.33
,,,,,,,,,,,,72,16,7,43.75,,,,,,,,,72.0,4.0,2.0,50.0,,,,,72.0,3.0,1.0,33.33,77.0,3.0,3.0,100.0,73.0,5.0,4.0,80.0,72.0,5.0,4.0,80.0,73,4,4,100.0
,,,,,,,,,,,,73,9,3,33.33,,,,,,,,,73.0,7.0,6.0,85.71,,,,,73.0,2.0,1.0,50.0,78.0,2.0,2.0,100.0,74.0,6.0,4.0,66.67,73.0,4.0,3.0,75.0,74,8,4,50.0
,,,,,,,,,,,,74,12,7,58.33,,,,,,,,,74.0,5.0,2.0,40.0,,,,,74.0,3.0,1.0,33.33,79.0,9.0,8.0,88.89,75.0,3.0,3.0,100.0,74.0,7.0,6.0,85.71,75,3,3,100.0
,,,,,,,,,,,,75,17,6,35.29,,,,,,,,,75.0,4.0,2.0,50.0,,,,,75.0,2.0,2.0,100.0,80.0,4.0,4.0,100.0,76.0,3.0,3.0,100.0,76.0,3.0,1.0,33.33,76,3,2,66.67
,,,,,,,,,,,,76,11,7,63.64,,,,,,,,,76.0,2.0,1.0,50.0,,,,,76.0,5.0,3.0,60.0,81.0,2.0,1.0,50.0,77.0,5.0,2.0,40.0,77.0,5.0,4.0,80.0,77,10,7,70.0
,,,,,,,,,,,,77,11,7,63.64,,,,,,,,,77.0,2.0,1.0,50.0,,,,,77.0,6.0,5.0,83.33,82.0,7.0,6.0,85.71,78.0,3.0,2.0,66.67,78.0,5.0,2.0,40.0,79,7,4,57.14
,,,,,,,,,,,,78,14,6,42.86,,,,,,,,,78.0,3.0,2.0,66.67,,,,,78.0,4.0,2.0,50.0,83.0,7.0,6.0,85.71,79.0,2.0,1.0,50.0,79.0,4.0,3.0,75.0,80,4,2,50.0
,,,,,,,,,,,,79,10,8,80.0,,,,,,,,,79.0,3.0,3.0,100.0,,,,,79.0,2.0,1.0,50.0,84.0,6.0,4.0,66.67,80.0,9.0,7.0,77.78,80.0,7.0,5.0,71.43,81,2,2,100.0
,,,,,,,,,,,,80,14,8,57.14,,,,,,,,,,,,,,,,,80.0,3.0,3.0,100.0,86.0,4.0,3.0,75.0,81.0,8.0,7.0,87.5,81.0,2.0,1.0,50.0,82,3,2,66.67
,,,,,,,,,,,,81,13,9,69.23,,,,,,,,,,,,,,,,,81.0,3.0,2.0,66.67,87.0,3.0,2.0,66.67,82.0,8.0,6.0,75.0,83.0,4.0,3.0,75.0,83,3,2,66.67
,,,,,,,,,,,,82,28,11,39.29,,,,,,,,,,,,,,,,,82.0,4.0,4.0,100.0,88.0,2.0,1.0,50.0,83.0,4.0,2.0,50.0,84.0,3.0,2.0,66.67,84,6,2,33.33
,,,,,,,,,,,,83,16,9,56.25,,,,,,,,,,,,,,,,,83.0,7.0,3.0,42.86,89.0,5.0,4.0,80.0,84.0,6.0,5.0,83.33,85.0,6.0,4.0,66.67,85,8,5,62.5
,,,,,,,,,,,,84,8,3,37.5,,,,,,,,,,,,,,,,,84.0,7.0,5.0,71.43,90.0,4.0,2.0,50.0,85.0,3.0,3.0,100.0,86.0,3.0,2.0,66.67,86,8,4,50.0
,,,,,,,,,,,,85,12,5,41.67,,,,,,,,,,,,,,,,,85.0,5.0,2.0,40.0,91.0,2.0,1.0,50.0,87.0,5.0,4.0,80.0,87.0,10.0,8.0,80.0,87,2,1,50.0
,,,,,,,,,,,,86,22,9,40.91,,,,,,,,,,,,,,,,,86.0,7.0,4.0,57.14,93.0,5.0,3.0,60.0,88.0,5.0,3.0,60.0,88.0,4.0,2.0,50.0,88,3,3,100.0
,,,,,,,,,,,,87,10,4,40.0,,,,,,,,,,,,,,,,,87.0,2.0,1.0,50.0,94.0,5.0,3.0,60.0,89.0,6.0,3.0,50.0,89.0,5.0,4.0,80.0,89,7,6,85.71
,,,,,,,,,,,,88,11,6,54.55,,,,,,,,,,,,,,,,,89.0,6.0,2.0,33.33,95.0,4.0,3.0,75.0,90.0,1.0,1.0,100.0,91.0,5.0,2.0,40.0,90,5,4,80.0
,,,,,,,,,,,,89,13,8,61.54,,,,,,,,,,,,,,,,,90.0,9.0,7.0,77.78,96.0,3.0,3.0,100.0,91.0,4.0,3.0,75.0,92.0,4.0,4.0,100.0,91,5,4,80.0
,,,,,,,,,,,,90,23,16,69.57,,,,,,,,,,,,,,,,,91.0,2.0,1.0,50.0,97.0,3.0,2.0,66.67,92.0,4.0,3.0,75.0,93.0,3.0,3.0,100.0,92,4,4,100.0
,,,,,,,,,,,,91,18,9,50.0,,,,,,,,,,,,,,,,,92.0,1.0,1.0,100.0,98.0,2.0,1.0,50.0,93.0,2.0,2.0,100.0,94.0,6.0,2.0,33.33,93,4,3,75.0
,,,,,,,,,,,,92,13,6,46.15,,,,,,,,,,,,,,,,,93.0,2.0,1.0,50.0,99.0,1.0,1.0,100.0,94.0,3.0,2.0,66.67,95.0,4.0,1.0,25.0,95,1,1,100.0
,,,,,,,,,,,,93,9,3,33.33,,,,,,,,,,,,,,,,,94.0,2.0,1.0,50.0,100.0,5.0,3.0,60.0,95.0,6.0,6.0,100.0,96.0,3.0,2.0,66.67,96,5,2,40.0
,,,,,,,,,,,,94,14,6,42.86,,,,,,,,,,,,,,,,,95.0,3.0,3.0,100.0,101.0,1.0,1.0,100.0,96.0,2.0,1.0,50.0,100.0,2.0,1.0,50.0,98,5,3,60.0
,,,,,,,,,,,,95,17,8,47.06,,,,,,,,,,,,,,,,,97.0,3.0,3.0,100.0,102.0,2.0,2.0,100.0,97.0,8.0,7.0,87.5,101.0,5.0,2.0,40.0,99,5,3,60.0
,,,,,,,,,,,,96,16,7,43.75,,,,,,,,,,,,,,,,,98.0,5.0,4.0,80.0,103.0,5.0,3.0,60.0,98.0,2.0,2.0,100.0,102.0,8.0,4.0,50.0,100,7,4,57.14
,,,,,,,,,,,,97,21,8,38.1,,,,,,,,,,,,,,,,,100.0,2.0,2.0,100.0,104.0,7.0,2.0,28.57,99.0,5.0,3.0,60.0,103.0,5.0,3.0,60.0,101,3,3,100.0
,,,,,,,,,,,,98,11,7,63.64,,,,,,,,,,,,,,,,,101.0,2.0,1.0,50.0,106.0,3.0,3.0,100.0,100.0,3.0,2.0,66.67,104.0,7.0,4.0,57.14,102,2,2,100.0
,,,,,,,,,,,,99,13,3,23.08,,,,,,,,,,,,,,,,,102.0,5.0,3.0,60.0,107.0,1.0,1.0,100.0,101.0,5.0,2.0,40.0,105.0,3.0,2.0,66.67,103,3,3,100.0
,,,,,,,,,,,,100,12,5,41.67,,,,,,,,,,,,,,,,,103.0,4.0,2.0,50.0,108.0,3.0,3.0,100.0,102.0,3.0,3.0,100.0,106.0,2.0,2.0,100.0,104,4,3,75.0
,,,,,,,,,,,,101,12,6,50.0,,,,,,,,,,,,,,,,,104.0,4.0,4.0,100.0,109.0,3.0,3.0,100.0,103.0,4.0,4.0,100.0,107.0,5.0,4.0,80.0,105,3,1,33.33
,,,,,,,,,,,,102,13,8,61.54,,,,,,,,,,,,,,,,,105.0,5.0,3.0,60.0,110.0,3.0,2.0,66.67,105.0,1.0,1.0,100.0,108.0,3.0,2.0,66.67,106,1,1,100.0
,,,,,,,,,,,,103,18,9,50.0,,,,,,,,,,,,,,,,,106.0,4.0,4.0,100.0,111.0,2.0,2.0,100.0,106.0,6.0,3.0,50.0,109.0,4.0,3.0,75.0,108,4,4,100.0
,,,,,,,,,,,,104,9,6,66.67,,,,,,,,,,,,,,,,,107.0,1.0,1.0,100.0,112.0,1.0,1.0,100.0,107.0,2.0,1.0,50.0,110.0,6.0,4.0,66.67,109,5,2,40.0
,,,,,,,,,,,,105,13,7,53.85,,,,,,,,,,,,,,,,,108.0,3.0,3.0,100.0,113.0,3.0,3.0,100.0,109.0,5.0,4.0,80.0,111.0,2.0,1.0,50.0,110,2,1,50.0
,,,,,,,,,,,,106,7,3,42.86,,,,,,,,,,,,,,,,,110.0,2.0,2.0,100.0,114.0,4.0,3.0,75.0,110.0,5.0,3.0,60.0,112.0,6.0,2.0,33.33,112,4,4,100.0
